"","AU","Label"
"67","UT15010008-015_00","TMDL(R8-UT-2018-01): ESCHERICHIA COLI (E. COLI)"
"68","UT16010101-006_00","TMDL(30887): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL"
"69","UT16010101-016_00","TMDL(30885): DISSOLVED OXYGEN"
"70","UT16010202-002_00","TMDL(11147): PHOSPHORUS, TOTAL"
"71","UT16010202-004_00","TMDL(38238): PHOSPHORUS, TOTAL"
"72","UT16010202-008_00","TMDL(38238): PHOSPHORUS, TOTAL"
"73","UT16010202-009_00","TMDL(4012): PHOSPHORUS, TOTAL<br>TMDL(38238): PHOSPHORUS, TOTAL, DISSOLVED OXYGEN"
"74","UT16010202-010_00","TMDL(38238): PHOSPHORUS, TOTAL"
"75","UT16010203-005_00","TMDL(38238): PHOSPHORUS, TOTAL"
"76","UT16010203-008_00","TMDL(4012): ESCHERICHIA COLI (E. COLI), AMMONIA, TOTAL"
"77","UT16020101-007_00","TMDL(30893): SEDIMENT"
"78","UT16020101-011_00","TMDL(239): PHOSPHORUS, TOTAL, SEDIMENT"
"79","UT16020101-013_00","TMDL(239): SEDIMENT, PHOSPHORUS, TOTAL"
"80","UT16020101-014_00","TMDL(239): PHOSPHORUS, TOTAL, SEDIMENT"
"81","UT16020101-016_00","TMDL(239): PHOSPHORUS, TOTAL, SEDIMENT"
"82","UT16020101-020_01","TMDL(11152): CADMIUM, ZINC"
"83","UT16020101-020_02","TMDL(11152): CADMIUM, ZINC"
"84","UT16020102-026_01","TMDL(399): PHOSPHORUS, TOTAL"
"85","UT16020102-026_02","TMDL(399): PHOSPHORUS, TOTAL"
"86","UT16020102-026_03","TMDL(399): PHOSPHORUS, TOTAL"
"87","UT16020202-012_00","TMDL(31023): PHOSPHORUS, TOTAL, SEDIMENT"
"88","UT16020202-022_00","TMDL(33611): SEDIMENT"
"89","UT16020203-027_00","TMDL(R8-UT-2022-01): ESCHERICHIA COLI (E. COLI)"
"90","UT16020204-001_01","TMDL(54300): DISSOLVED OXYGEN"
"91","UT16020204-001_02","TMDL(54300): DISSOLVED OXYGEN"
"92","UT16020204-002_00","TMDL(54321): DISSOLVED OXYGEN"
"93","UT16020204-003_00","TMDL(54322): DISSOLVED OXYGEN"
"94","UT16020204-012_00","TMDL(42669): ESCHERICHIA COLI (E. COLI)"
"95","UT16020204-022_00","TMDL(4014): ZINC"
"96","UT16030001-005_00","TMDL(11126): SEDIMENT, PHOSPHORUS, TOTAL<br>TMDL(30892): PHOSPHORUS, TOTAL"
"97","UT16030001-007_00","TMDL(11127): PHOSPHORUS, TOTAL, SEDIMENT"
"98","UT16030001-009_00","TMDL(11129): PHOSPHORUS, TOTAL"
"99","UT16030002-003_00","TMDL(900): PHOSPHORUS, TOTAL, SEDIMENT"
"100","UT16030002-004_00","TMDL(900): DISSOLVED OXYGEN, PHOSPHORUS, TOTAL, SEDIMENT"
"101","UT16030002-005_00","TMDL(30892): PHOSPHORUS, TOTAL"
"102","UT16030003-003_00","TMDL(11125): TOTAL DISSOLVED SOLIDS (TDS)"
"103","UT16030003-012_00","TMDL(11150): TOTAL DISSOLVED SOLIDS (TDS)<br>TMDL(11122): TOTAL DISSOLVED SOLIDS (TDS), PHOSPHORUS, TOTAL, SEDIMENT"
"104","UT16030004-001_00","TMDL(11150): TOTAL DISSOLVED SOLIDS (TDS)"
"105","UT16030004-005_01","TMDL(11151): TOTAL DISSOLVED SOLIDS (TDS)"
"106","UT16030004-005_02","TMDL(11151): TOTAL DISSOLVED SOLIDS (TDS)"
"107","UT16030004-009_00","TMDL(11151): PH"
"108","UT16030005-026_00","TMDL(11124): PHOSPHORUS, TOTAL, SEDIMENT"
"109","UT16030005-027_00","TMDL(11124): PHOSPHORUS, TOTAL, SEDIMENT"
"110","UT16030007-002_00","TMDL(96): TEMPERATURE, DISSOLVED OXYGEN"
