Date_Time,Site_ID,State,Tribe,Secondary_Tribe,Region,Time_Period,Sample_Type,Hardness,Aluminum,Antimony,Arsenic,Barium,Beryllium,Boron,Cadmium,Calcium,Chromium,Cobalt,Copper,Iron,Lead,Magnesium,Manganese,Mercury,Molybdenum,Nickel,Potassium,Selenium,Silver,Sodium,Thallium,Vanadium,Zinc,Strontium,Uranium
11/14/2018,10HOGBACKC42,New Mexico,Navajo Nation,NA,Region 6,1,Dissolved,233,2,0.22,0.7,64,0.13,NA,0.12,68600,1.1,0.6,1,8,0.4,11600,34.8,0.079,0.9,1.5,3070,0.82,0.45,41700,0.2,0.8,0.3,NA,NA
11/15/2018,64Galleg000.4,New Mexico,NA,NA,Region 6,1,Dissolved,644,23,0.22,1.2,45,0.13,NA,0.12,211000,1.2,0.6,3.5,15,0.4,30700,2.1,0.079,7.7,6,3140,15.4,0.45,358000,0.2,1.6,0.5,NA,NA
11/12/2018,01CHINLECR27,Utah,Navajo Nation,NA,Region 8,1,Acid soluble,253,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,02SANJUAN08,Utah,Navajo Nation,NA,Region 8,1,Acid soluble,284,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,02SANJUANR06,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Acid soluble,280,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,02SANJUANR06,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Acid soluble,280,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,02SANJUANR07,Utah,Navajo Nation,NA,Region 8,1,Acid soluble,292,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/13/2018,04MCELMOCR01,Utah,Navajo Nation,Ute Mountain Ute,Region 8,1,Acid soluble,1370,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/14/2018,06CHACORIV04,New Mexico,Navajo Nation,NA,Region 6,1,Acid soluble,122,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/15/2018,10FRUCANAL40,New Mexico,Navajo Nation,NA,Region 6,1,Total Recoverable,226,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
