"","CharacteristicName","ResultSampleFractionText"
"224","2,2',3,4'-Tetrachlorobiphenyl","Total Recoverable"
"225","2,3,4,6-Tetrachlorobiphenyl","Total Recoverable"
"226","2,3,4',5-Tetrachlorobiphenyl","Total Recoverable"
"227","3,3',4,4'-Tetrachlorobiphenyl","Total Recoverable"
"228","2,2',3,5,5'-Pentachlorobiphenyl","Total Recoverable"
"229","3,3',4,5-Tetrachlorobiphenyl","Total Recoverable"
"230","2,2',3,4',5,6,6'-Heptachlorobiphenyl","Total Recoverable"
"231","2,2',3,4,4',5,6-Heptachlorobiphenyl","Total Recoverable"
"232","2,2',3,3',4,4',5,5'-Octachlorobiphenyl","Total Recoverable"
"233","2,2',3,3',4,4',5,6-Octachlorobiphenyl","Total Recoverable"
"234","2,2',3,4,4',5,6,6'-Octachlorobiphenyl","Total Recoverable"
"235","2,3,3',4,4',5,5',6-Octachlorobiphenyl","Total Recoverable"
"236","2-Chlorobiphenyl","Total Recoverable"
"237","2,2',3,3',4,4',6,6'-Octachlorobiphenyl","Total Recoverable"
"238","2,4,6-Trichlorobiphenyl","Total Recoverable"
"239","PCB-4/10","Total Recoverable"
"240","PCB-7/9","Total Recoverable"
"241","PCB-5/8","Total Recoverable"
"242","3,5-Dichlorobiphenyl","Total Recoverable"
"243","3,3'-Dichlorobiphenyl","Total Recoverable"
"244","3,4-Dichlorobiphenyl","Total Recoverable"
"245","3,4'-Dichlorobiphenyl","Total Recoverable"
"246","4,4'-Dichlorobiphenyl","Total Recoverable"
"247","2,2',5-Trichlorobiphenyl","Total Recoverable"
"248","2,2',4-Trichlorobiphenyl","Total Recoverable"
"249","PCB-16/32","Total Recoverable"
"250","2,3,6-Trichlorobiphenyl","Total Recoverable"
"251","PCB-28/31","Total Recoverable"
"252","PCB-20/21/33",""
"253","3,3',4-Trichlorobiphenyl","Total Recoverable"
"254","2,2',5,5'-Tetrachlorobiphenyl","Total Recoverable"
"255","PCB-46/69/73",""
"256","2,2',3,5-Tetrachlorobiphenyl","Total Recoverable"
"257","PCB-47/48/75",""
"258","2,3,5,6-Tetrachlorobiphenyl","Total Recoverable"
"259","PCB-41/64/68",""
"260","PCB-40/57",""
"261","PCB-61/74","Total Recoverable"
"262","PCB-70/76","Total Recoverable"
"263","PCB-66/80",""
"264","2,2',6,6'-Tetrachlorobiphenyl","Total Recoverable"
"265","3,3',4,5'-Tetrachlorobiphenyl","Total Recoverable"
"266","2,2',4,6,6'-Pentachlorobiphenyl","Total Recoverable"
"267","PCB-96/103",""
"268","2,2',3,5,6'-Pentachlorobiphenyl","Total Recoverable"
"269","PCB-98/102","Total Recoverable"
"270","PCB-93/95/121",""
"271","PCB-84/90/101",""
"272","PCB-89/113",""
"273","2,3,3',5,6-Pentachlorobiphenyl","Total Recoverable"
"274","PCB-83/120",""
"275","PCB-86/97/125",""
"276","PCB-116/117",""
"277","PCB-87/111/115","Total Recoverable"
"278","2,3,3',4,6-Pentachlorobiphenyl","Total Recoverable"
"279","2,3,3',4',6-Pentachlorobiphenyl",""
"280","3,4,4',5-Tetrachlorobiphenyl","Total Recoverable"
"281","PCB-106/107",""
"282","PCB-108/118",""
"283","PCB-114/122",""
"284","PCB-105/127",""
"285","3,3',4,4',5-Pentachlorobiphenyl","Total Recoverable"
"286","2,2',4,4',6,6'-Hexachlorobiphenyl","Total Recoverable"
"287","2,2',3,4',6,6'-Hexachlorobiphenyl","Total Recoverable"
"288","2,2',3,5,6,6'-Hexachlorobiphenyl","Total Recoverable"
"289","PCB-145/148",""
"290","PCB-136/154",""
"291","2,2',3,3',5,6'-Hexachlorobiphenyl","Total Recoverable"
"292","2,2',3,4,5',6-Hexachlorobiphenyl","Total Recoverable"
"293","2,2',3,4',5,6-Hexachlorobiphenyl","Total Recoverable"
"294","PCB-139/149","Total Recoverable"
"295","PCB-133/134",""
"296","PCB-131/165","Total Recoverable"
"297","PCB-142/146/161",""
"298","PCB-153/168","Total Recoverable"
"299","2,2',3,3',4,6'-Hexachlorobiphenyl","Total Recoverable"
"300","2,2',3,4,5,5'-Hexachlorobiphenyl","Total Recoverable"
"301","2,2',3,4,4',5-Hexachlorobiphenyl","Total Recoverable"
"302","2,2',3,3',4,5'-Hexachlorobiphenyl","Total Recoverable"
"303","PCB-138/163/164","Total Recoverable"
"304","PCB-158/160","Total Recoverable"
"305","2,2',3,3',4,5-Hexachlorobiphenyl","Total Recoverable"
"306","2,3,4,4',5,6-Hexachlorobiphenyl","Total Recoverable"
"307","2,3,3',4,5,5'-Hexachlorobiphenyl","Total Recoverable"
"308","PCB-128/167","Total Recoverable"
"309","2,3,3',4,4',5-Hexachlorobiphenyl","Total Recoverable"
"310","3,3',4,4',5,5'-Hexachlorobiphenyl","Total Recoverable"
"311","2,3,3',4,4',5,5'-Heptachlorobiphenyl","Total Recoverable"
"312","2,2',3,3',5,6,6'-Heptachlorobiphenyl","Total Recoverable"
"313","2,2',3,3',4,6,6'-Heptachlorobiphenyl","Total Recoverable"
"314","PCB-178/186",""
"315","2,2',3,3',4,5',6-Heptachlorobiphenyl","Total Recoverable"
"316","PCB-182/187","Total Recoverable"
"317","2,2',3,4,4',5',6-Heptachlorobiphenyl","Total Recoverable"
"318","2,2',3,3',4,5,6'-Heptachlorobiphenyl","Total Recoverable"
"319","2,2',3,3',4,5',6'-Heptachlorobiphenyl","Total Recoverable"
"320","2,2',3,3',4,4',6-Heptachlorobiphenyl","Total Recoverable"
"321","2,2',3,3',4,5,6-Heptachlorobiphenyl","Total Recoverable"
"322","PCB-172/192","Total Recoverable"
"323","PCB-180/193","Total Recoverable"
"324","PCB-170/190","Total Recoverable"
"325","2,2',3,3',4,5,5',6-Octachlorobiphenyl","Total Recoverable"
"326","PCB-196/203","Total Recoverable"
"327","2,2',3,3',4,5,5',6'-Octachlorobiphenyl","Total Recoverable"
"328","2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl","Total Recoverable"
"329","4,4'-Dibromo-2,2',3,3',5,5',6,6'-octafluorobiphenyl",""
"330","2,3',4-Trichlorobiphenyl","Total Recoverable"
"331","3,3',5-Trichlorobiphenyl","Total Recoverable"
"332","2,3',5-Trichlorobiphenyl","Total Recoverable"
"333","3,4,4'-Trichlorobiphenyl","Total Recoverable"
"334","2,3,3',4-Tetrachlorobiphenyl","Total Recoverable"
"335","2,3,3',4'-Tetrachlorobiphenyl","Total Recoverable"
"336","2,2',3,5'-Tetrachlorobiphenyl","Total Recoverable"
"337","2,3',4,5-Tetrachlorobiphenyl","Total Recoverable"
"338","2,3,3',5'-Tetrachlorobiphenyl","Total Recoverable"
"339","2,2',3,3',4-Pentachlorobiphenyl","Total Recoverable"
"340","2,2',6-Trichlorobiphenyl","Total Recoverable"
"341","2,2',3,4,4',6,6'-Heptachlorobiphenyl","Total Recoverable"
"342","3-Chlorobiphenyl","Total Recoverable"
"343","2,2',3,3',4,5,6,6'-Octachlorobiphenyl","Total Recoverable"
"344","2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl","Total Recoverable"
"345","2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl","Total Recoverable"
"346","3,4,5-Trichlorobiphenyl","Total Recoverable"
"347","2,3',6-Trichlorobiphenyl","Total Recoverable"
"348","3,4',5-Trichlorobiphenyl","Total Recoverable"
"349","2,3,3',6-Tetrachlorobiphenyl","Total Recoverable"
"350","2,3'-Dichlorobiphenyl","Total Recoverable"
"351","2,2',3,6-Tetrachlorobiphenyl","Total Recoverable"
"352","2,3',5,5'-Tetrachlorobiphenyl","Total Recoverable"
"353","2,3,4,4'-Tetrachlorobiphenyl","Total Recoverable"
"354","2,2',3,4,4'-Pentachlorobiphenyl","Total Recoverable"
"355","2,2',3,4,6-Pentachlorobiphenyl","Total Recoverable"
"356","2,3,3',4,4',5',6-Heptachlorobiphenyl","Total Recoverable"
"357","2,2',3,3',4,5',6,6'-Octachlorobiphenyl","Total Recoverable"
"358","2,2',3,3',5,5',6,6'-Octachlorobiphenyl","Total Recoverable"
"359","Decachlorobiphenyl","Total Recoverable"
"360","Total PAHs, low wt",""
"361","Total PCBs",""
"362","Dry Solids at 105 C","Total"
"363","Chromium(III)","Total"
"364","Alkalinity, Hydroxide",""
"365","Alkalinity, carbonate",""
"366","Chromium(VI)","Total"
"367","Turbidity",""
"368","Total Kjeldahl nitrogen","Total"
"369","Organic carbon","Dissolved"
"370","Total Coliform",""
"371","Escherichia coli",""
"372","Count",""
"373","Chlorophyll a",""
"374","Volume, total",""
"375","Pheophytin a","Total"
"376","Chlorophyll/Pheophytin ratio",""
"377","Total Phosphorus, mixed forms","Unfiltered"
"378","Ammonia","Unfiltered"
"379","Total Kjeldahl nitrogen (Organic N & NH3)","Unfiltered"
"380","Nitrate + Nitrite","Unfiltered"
"381","Total suspended solids","Unfiltered"
"382","Orthophosphate","Unfiltered"
"383","Kjeldahl nitrogen","Unfiltered"
"384","Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite","Unfiltered"
"385","Phosphorus","Unfiltered"
"386","Alkalinity, bicarbonate","Unfiltered"
"387","Alkalinity, carbonate","Unfiltered"
"388","Alkalinity, Hydroxide","Unfiltered"
"389","Alkalinity, total","Unfiltered"
"390","Sulfide","Unfiltered"
"391","Organic carbon","Unfiltered"
"392","Chloride","Unfiltered"
"393","Sulfate","Unfiltered"
"394","Total Nitrogen, mixed forms","Unfiltered"
"395","Organic Nitrogen","Total"
"396","Silica","Total"
"397","Silicon","Total Recoverable"
"398","Fluoride","Total"
"399","Total hardness","Total"
"400","Total hardness","Dissolved"
"401","Strontium","Dissolved"
"402","Strontium","Total"
"403","Total Kjeldahl nitrogen","Unfiltered"
"404","Percent Solids","Total"
"405","RBP2, Substrate, inorganic, sand, 0.06-2.0 mm","Total"
"406","RBP2, Substrate, Inorganic, Silt, 0.004-0.06 mm","Total"
"407","RBP2, Substrate, inorganic, clay, <0.004 mm","Total"
"408","RBP2, Substrate, inorganic, gravel, 2-64 mm","Total"
"409","Aluminum","Acid Soluble"
"410","Specific conductance","Total"
"411","Temperature, water","Total"
"412","Turbidity","Total"
"413","pH","Total"
"414","Dissolved oxygen (DO)","Total"
"415","Flow","Total"
"416","Conductivity",""
"417","Oxidation reduction potential (ORP)",""
"418","Silica","Dissolved"
"419","Titanium","Dissolved"
"420","Titanium","Total"
"421","Boron","Total Recoverable"
"422","Silica","Total Recoverable"
"423","Strontium","Total Recoverable"
"424","Titanium","Total Recoverable"
