Comments,Screening.Criteria,Use,Jurisdiction,CharacteristicName,ResultSampleFractionText,Criteria_mg_L,CF,Criterion_Formula_mgL
80,Agriculture,Revised Ag Water Supply,Region 9,Cobalt,Dissolved,0.05,,
389,Livestock,Livestock Watering,Region 9,Cobalt,Dissolved,1,,
431,Recreation and Human Contact,Recreational,Region 6,Cobalt,Dissolved,0.05,,
41,Agriculture,Irrigation,Region 6,Copper,Dissolved,0.2,,
466,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Beryllium,Total,1.87,,
3,Agriculture,Agricultural Supply,Navajo Nation,Beryllium,Total,0.05,,
122,Aquatic Life,Aquatic Acute,Navajo Nation,Cadmium,Dissolved,,1.136672 -log(hardness)* 0.041838,(CF*exp( 1.0166 *log(hardness)+ -3.924 ))/1000
194,Aquatic Life,Aquatic Chronic,Navajo Nation,Cadmium,Dissolved,,1.101672 -log(hardness)* 0.041838,(CF*exp( 0.7409 *log(hardness)+ -4.719 ))/1000
285,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Cadmium,Total,0.005,,
366,Livestock,Livestock Watering,New Mexico,Arsenic,Dissolved,0.2,,
297,Domestic Water Supply,Domestic Water Supply,New Mexico,Barium,Dissolved,2,,
298,Domestic Water Supply,Domestic Water Supply,New Mexico,Beryllium,Dissolved,0.004,,
28,Agriculture,Irrigation,New Mexico,Cadmium,Dissolved,0.01,,
132,Aquatic Life,Aquatic Acute,New Mexico,Cadmium,Dissolved,,1.136672 -log(hardness)* 0.041838,(CF*exp( 0.8968 *log(hardness)+ -3.5699 ))/1000
202,Aquatic Life,Aquatic Chronic,New Mexico,Cadmium,Dissolved,,1.101672 -log(hardness)* 0.041838,(CF*exp( 0.7647 *log(hardness)+ -4.218 ))/1000
299,Domestic Water Supply,Domestic Water Supply,New Mexico,Cadmium,Dissolved,0.005,,
367,Livestock,Livestock Watering,New Mexico,Cadmium,Dissolved,0.05,,
29,Agriculture,Irrigation,New Mexico,Chromium,Dissolved,0.1,,
133,Aquatic Life,Aquatic Acute,New Mexico,Chromium,Dissolved,0.016,,
203,Aquatic Life,Aquatic Chronic,New Mexico,Chromium,Dissolved,0.011,,
300,Domestic Water Supply,Domestic Water Supply,New Mexico,Chromium,Dissolved,0.1,,
368,Livestock,Livestock Watering,New Mexico,Chromium,Dissolved,1,,
134,Aquatic Life,Aquatic Acute,New Mexico,Chromium(III),Dissolved,,0.316,(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000
204,Aquatic Life,Aquatic Chronic,New Mexico,Chromium(III),Dissolved,,0.86,(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000
30,Agriculture,Irrigation,New Mexico,Cobalt,Dissolved,0.05,,
266,Aquatic Life,Warm Water Fish 4-day,Utah,Chromium,Dissolved,0.011,,
312,Domestic Water Supply,Domestic Water Supply,Utah,Chromium,Dissolved,0.05,,
399,Livestock,Livestock Watering,Utah,Chromium,Dissolved,1,,
449,Recreation and Human Contact,Recreational,Utah,Chromium,Total,0.41,,
146,Aquatic Life,Aquatic Acute,Utah,Chromium(III),Dissolved,,0.316,(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000
105,Aquatic Life,Aquatic Acute,Colorado,Chromium(III),Dissolved,,1,(CF*exp( 0.819 *log(hardness)+ 2.5736 ))/1000
175,Aquatic Life,Aquatic Chronic,Colorado,Chromium(III),Dissolved,,1,(CF*exp( 0.819 *log(hardness)+ 0.534 ))/1000
152,Aquatic Life,Aquatic Acute,Ute Mountain Ute,Cadmium,Dissolved,,1.136672 -log(hardness)* 0.041838,(CF*exp( 1.0166 *log(hardness)+ -3.924 ))/1000
220,Aquatic Life,Aquatic Chronic,Ute Mountain Ute,Cadmium,Dissolved,,1.101672 -log(hardness)* 0.041838,(CF*exp( 0.7409 *log(hardness)+ -4.719 ))/1000
319,Domestic Water Supply,Domestic Water and Tribal 1 Day,Ute Mountain Ute,Cadmium,Dissolved,0.005,,
19,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Chromium,Total Recoverable,0.1,,
229,Aquatic Life,Aqutic Chronic 4-Day,Ute Mountain Ute,Chromium,Dissolved,0.011,,
320,Domestic Water Supply,Domestic Water and Tribal 1 Day,Ute Mountain Ute,Chromium,Dissolved,0.05,,
153,Aquatic Life,Aquatic Acute,Ute Mountain Ute,Chromium(III),Dissolved,,8.396997847,(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000
221,Aquatic Life,Aquatic Chronic,Ute Mountain Ute,Chromium(III),Dissolved,,5.356197847,(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000
20,Agriculture,Agriculture 30-Day,Ute Mountain Ute,Copper,Total Recoverable,0.2,,
154,Aquatic Life,Aquatic Acute,Ute Mountain Ute,Copper,Dissolved,,3.674103848,(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000
222,Aquatic Life,Aquatic Chronic,Ute Mountain Ute,Copper,Dissolved,,3.171882125,(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000
328,Domestic Water Supply,Drinking Water 30-Day,Ute Mountain Ute,Copper,Dissolved,1,,
162,Aquatic Life,Aquatic Acute 1-Day,Ute Mountain Ute,Hardness,Dissolved,300,,
