Comments,Screening.Criteria,Use,Jurisdiction,CharacteristicName,ResultSampleFractionText,Criteria_mg_L,CF,Criterion_Formula_mgL
16,Agriculture,Agricultural Uses,Utah,Selenium,Dissolved,0.05,,
59,Agriculture,Irrigation (long-term),Utah,Selenium,Dissolved,0.02,,
73,Agriculture,Irrigation (short-term),Utah,Selenium,Dissolved,0.02,,
111,Aquatic Life,Aquatic Acute,Colorado,Selenium,Dissolved,0.0184,,
260,Aquatic Life,Warm Water Fish 1-hr,Utah,Selenium,Dissolved,0.0184,,
244,Aquatic Life,Chronic Ag and Wildlife,Navajo Nation,Mercury,Dissolved,1.20E-05,,
289,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Mercury,Total,0.002,,
342,Fish Consumption,Fish Consumption,Navajo Nation,Mercury,Total,0.00015,,
418,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Mercury,Total,0.28,,
470,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Mercury,Total,0.28,,
7,Agriculture,Agricultural Supply,Navajo Nation,Molybdenum,Total,0.05,,
126,Aquatic Life,Aquatic Acute,Navajo Nation,Nickel,Dissolved,,0.998,(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000
198,Aquatic Life,Aquatic Chronic,Navajo Nation,Nickel,Dissolved,,0.997,(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000
290,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Nickel,Total,0.61,,
226,Aquatic Life,Aquatic Chronic,Ute Mountain Ute,Zinc,Dissolved,,5.716814891,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
330,Domestic Water Supply,Drinking Water 30-Day,Ute Mountain Ute,Zinc,Dissolved,5,,
34,Agriculture,Irrigation,New Mexico,Selenium,Dissolved,0.13,,
142,Aquatic Life,Aquatic Acute,New Mexico,Selenium,Total Recoverable,0.02,,
212,Aquatic Life,Aquatic Chronic,New Mexico,Selenium,Total Recoverable,0.005,,
305,Domestic Water Supply,Domestic Water Supply,New Mexico,Selenium,Dissolved,0.05,,
373,Livestock,Livestock Watering,New Mexico,Selenium,Dissolved,0.05,,
410,Livestock,Wildlife Habitat,New Mexico,Selenium,Total Recoverable,0.005,,
343,Fish Consumption,Fish Consumption,Navajo Nation,Nickel,Total,4.6,,
419,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Nickel,Total,18.67,,
471,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Nickel,Total,18.67,,
8,Agriculture,Agricultural Supply,Navajo Nation,Selenium,Total,0.02,,
96,Aquatic Life,Acute Ag and Wildlife,Navajo Nation,Selenium,Total,0.033,,
246,Aquatic Life,Chronic Ag and Wildlife,Navajo Nation,Selenium,Total,0.002,,
291,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Selenium,Total,0.05,,
344,Fish Consumption,Fish Consumption,Navajo Nation,Selenium,Total,0.67,,
363,Livestock,Livestock Watering,Navajo Nation,Selenium,Total,0.05,,
143,Aquatic Life,Aquatic Acute,New Mexico,Silver,Dissolved,,0.85,(CF*exp( 1.72 *log(hardness)+ -6.59 ))/1000
Should this be for Sodium or Selenium,Fish Consumption,HH-OO,New Mexico,Sodium,Dissolved,4.2,,
306,Domestic Water Supply,Domestic Water Supply,New Mexico,Thallium,Dissolved,0.002,,
355,Fish Consumption,HH-OO,New Mexico,Thallium,Dissolved,0.47,,
35,Agriculture,Irrigation,New Mexico,Vanadium,Dissolved,0.1,,
374,Livestock,Livestock Watering,New Mexico,Vanadium,Dissolved,0.1,,
36,Agriculture,Irrigation,New Mexico,Zinc,Dissolved,2,,
144,Aquatic Life,Aquatic Acute,New Mexico,Zinc,Dissolved,,0.978,(CF*exp( 0.9094 *log(hardness)+ 0.9095 ))/1000
213,Aquatic Life,Aquatic Chronic,New Mexico,Zinc,Dissolved,,0.986,(CF*exp( 0.9094 *log(hardness)+ 0.6235 ))/1000
307,Domestic Water Supply,Domestic Water Supply,New Mexico,Zinc,Dissolved,10.5,,
433,Recreation and Human Contact,Recreational,Region 6,Iron,Dissolved,120,,
42,Agriculture,Irrigation,Region 6,Lead,Dissolved,5,,
82,Agriculture,Revised Ag Water Supply,Region 9,Lead,Dissolved,10,,
118,Aquatic Life,Aquatic Acute,EPA,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000
191,Aquatic Life,Aquatic Chronic,EPA,Lead,Dissolved,,1.46203 -log(hardness)* 0.145712,(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000
380,Livestock,Livestock Watering,Region 6,Lead,Dissolved,0.1,,
391,Livestock,Livestock Watering,Region 9,Lead,Dissolved,0.1,,
434,Recreation and Human Contact,Recreational,Region 6,Lead,Dissolved,0.2,,
43,Agriculture,Irrigation,Region 6,Manganese,Dissolved,0.2,,
435,Recreation and Human Contact,Recreational,Region 6,Manganese,Dissolved,7.8,,
381,Livestock,Livestock Watering,Region 6,Mercury,Dissolved,0.01,,
436,Recreation and Human Contact,Recreational,Region 6,Mercury,Dissolved,0.05,,
83,Agriculture,Revised Ag Water Supply,Region 9,Molybdenum,Dissolved,1,,
437,Recreation and Human Contact,Recreational,Region 6,Molybdenum,Dissolved,0.83,,
44,Agriculture,Irrigation,Region 6,Nickel,Dissolved,0.2,,
119,Aquatic Life,Aquatic Acute,EPA,Nickel,Dissolved,,0.998,(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000
192,Aquatic Life,Aquatic Chronic,EPA,Nickel,Dissolved,,0.997,(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000
382,Livestock,Livestock Watering,Region 6,Nickel,Dissolved,1,,
438,Recreation and Human Contact,Recreational,Region 6,Nickel,Dissolved,3.3,,
273,Aquatic Life,Warm Water Fish 4-day,Utah,Selenium,Dissolved,0.0046,,
183,Aquatic Life,Aquatic Chronic,Colorado,Selenium,Dissolved,0.0046,,
334,Fish Consumption,Fish Consumption,Colorado,Selenium,Dissolved,4.2,,
315,Domestic Water Supply,Domestic Water Supply,Utah,Selenium,Dissolved,0.05,,
405,Livestock,Livestock Watering,Utah,Selenium,Dissolved,0.05,,
458,Recreation and Human Contact,Recreational,Utah,Selenium,Total,3.104,,
150,Aquatic Life,Aquatic Acute,Utah,Silver,Dissolved,,0.85,(CF*exp( 1.72 *log(hardness)+ -6.59 ))/1000
261,Aquatic Life,Warm Water Fish 1-hr,Utah,Silver,Dissolved,0.01059716954,,
112,Aquatic Life,Aquatic Acute,Colorado,Silver,Dissolved,,0.5,(CF*exp( 1.72 *log(hardness)+ -6.52 ))/1000
184,Aquatic Life,Aquatic Chronic,Colorado,Silver,Dissolved,,1,(CF*exp( 1.72 *log(hardness)+ -9.06 ))/1000
280,Domestic Water Supply,Domestic Supply 1-Day,Colorado,Silver,Total Recoverable,0.1,,
316,Domestic Water Supply,Domestic Water Supply,Utah,Silver,Dissolved,0.05,,
459,Recreation and Human Contact,Recreational,Utah,Silver,Total,3.64,,
406,Livestock,Livestock Watering,Utah,Sodium,Dissolved,1000,,
356,Fish Consumption,HH-OO,New Mexico,Zinc,Dissolved,26,,
375,Livestock,Livestock Watering,New Mexico,Zinc,Dissolved,25,,
420,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Selenium,Total,4.67,,
472,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Selenium,Total,4.67,,
127,Aquatic Life,Aquatic Acute,Navajo Nation,Silver,Dissolved,,0.85,(CF*exp( 1.72 *log(hardness)+ -6.59 ))/1000
292,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Silver,Total,0.035,,
345,Fish Consumption,Fish Consumption,Navajo Nation,Silver,Total,8,,
421,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Silver,Total,4.67,,
473,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Silver,Total,4.67,,
98,Aquatic Life,Acute Ag and Wildlife,Navajo Nation,Thallium,Dissolved,0.7,,
247,Aquatic Life,Chronic Ag and Wildlife,Navajo Nation,Thallium,Dissolved,0.15,,
293,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Thallium,Total,0.002,,
346,Fish Consumption,Fish Consumption,Navajo Nation,Thallium,Total,0.001,,
422,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Thallium,Total,0.075,,
45,Agriculture,Irrigation,Region 6,Selenium,Dissolved,0.13,,
84,Agriculture,Revised Ag Water Supply,Region 9,Selenium,Dissolved,0.02,,
383,Livestock,Livestock Watering,Region 6,Selenium,Dissolved,0.25,,
392,Livestock,Livestock Watering,Region 9,Selenium,Dissolved,0.05,,
439,Recreation and Human Contact,Recreational,Region 6,Selenium,Dissolved,0.83,,
120,Aquatic Life,Aquatic Acute,EPA,Silver,Dissolved,,0.85,(CF*exp( 1.72 *log(hardness)+ -6.59 ))/1000
440,Recreation and Human Contact,Recreational,Region 6,Thallium,Dissolved,0.002,,
46,Agriculture,Irrigation,Region 6,Vanadium,Dissolved,0.1,,
85,Agriculture,Revised Ag Water Supply,Region 9,Vanadium,Dissolved,0.1,,
384,Livestock,Livestock Watering,Region 6,Vanadium,Dissolved,0.1,,
393,Livestock,Livestock Watering,Region 9,Vanadium,Dissolved,0.1,,
441,Recreation and Human Contact,Recreational,Region 6,Vanadium,Dissolved,0.83,,
47,Agriculture,Irrigation,Region 6,Zinc,Dissolved,2,,
86,Agriculture,Revised Ag Water Supply,Region 9,Zinc,Dissolved,10,,
121,Aquatic Life,Aquatic Acute,EPA,Zinc,Dissolved,,0.978,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
193,Aquatic Life,Aquatic Chronic,EPA,Zinc,Dissolved,,0.986,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
385,Livestock,Livestock Watering,Region 6,Zinc,Dissolved,25,,
394,Livestock,Livestock Watering,Region 9,Zinc,Dissolved,25,,
442,Recreation and Human Contact,Recreational,Region 6,Zinc,Dissolved,50,,
185,Aquatic Life,Aquatic Chronic,Colorado,Thallium,Dissolved,0.015,,
335,Fish Consumption,Fish Consumption,Colorado,Thallium,Dissolved,0.00047,,
460,Recreation and Human Contact,Recreational,Utah,Thallium,Total,0.025,,
113,Aquatic Life,Aquatic Acute,Colorado,Uranium,Dissolved,,1,(CF*exp( 1.1021 *log(hardness)+ 2.7088 ))/1000
186,Aquatic Life,Aquatic Chronic,Colorado,Uranium,Dissolved,,1,(CF*exp( 1.102 *log(hardness)+ 2.2382 ))/1000
60,Agriculture,Irrigation (long-term),Utah,Vanadium,Dissolved,0.1,,
74,Agriculture,Irrigation (short-term),Utah,Vanadium,Dissolved,1,,
407,Livestock,Livestock Watering,Utah,Vanadium,Dissolved,0.1,,
461,Recreation and Human Contact,Recreational,Utah,Vanadium,Total,6.208,,
61,Agriculture,Irrigation (long-term),Utah,Zinc,Dissolved,2,,
75,Agriculture,Irrigation (short-term),Utah,Zinc,Dissolved,10,,
151,Aquatic Life,Aquatic Acute,Utah,Zinc,Dissolved,,0.978,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
219,Aquatic Life,Aquatic Chronic,Utah,Zinc,Dissolved,,0.986,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
262,Aquatic Life,Warm Water Fish 1-hr,Utah,Zinc,Dissolved,0.12,,
274,Aquatic Life,Warm Water Fish 4-day,Utah,Zinc,Dissolved,0.12,,
114,Aquatic Life,Aquatic Acute,Colorado,Zinc,Dissolved,,0.978,(CF*exp( 0.9094 *log(hardness)+ 0.9095 ))/1000
187,Aquatic Life,Aquatic Chronic,Colorado,Zinc,Dissolved,,0.986,(CF*exp( 0.9094 *log(hardness)+ 0.6235 ))/1000
336,Fish Consumption,Fish Consumption,Colorado,Zinc,Dissolved,7.4,,
408,Livestock,Livestock Watering,Utah,Zinc,Dissolved,25,,
462,Recreation and Human Contact,Recreational,Utah,Zinc,Total,217.786,,
474,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Thallium,Total,0.075,,
9,Agriculture,Agricultural Supply,Navajo Nation,Vanadium,Dissolved,1,,
364,Livestock,Livestock Watering,Navajo Nation,Vanadium,Dissolved,0.1,,
10,Agriculture,Agricultural Supply,Navajo Nation,Zinc,Total,10,,
128,Aquatic Life,Aquatic Acute,Navajo Nation,Zinc,Dissolved,,0.978,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
199,Aquatic Life,Aquatic Chronic,Navajo Nation,Zinc,Dissolved,,0.986,(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000
294,Domestic Water Supply,Domestic Water Supply,Navajo Nation,Zinc,Total,2.1,,
347,Fish Consumption,Fish Consumption,Navajo Nation,Zinc,Total,5.1,,
365,Livestock,Livestock Watering,Navajo Nation,Zinc,Total,25,,
423,Recreation and Human Contact,Primary Human Contact,Navajo Nation,Zinc,Total,280,,
475,Recreation and Human Contact,Secondary Human Contact,Navajo Nation,Zinc,Total,280,,
