"","Screening.Criteria","Use","Jurisdiction","CharacteristicName","ResultSampleFractionText","Criteria_mg_L","CF","Criterion_Formula_mgL"
"160","Aquatic Life","Aquatic Acute 1-Day","Ute Mountain Ute","Hardness","Dissolved",300,NA,NA
"161","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Lead","Total Recoverable",0.1,NA,NA
"162","Aquatic Life","Aquatic Chronic","Utah","Chromium(III)","Dissolved",NA,"0.86","(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000"
"163","Agriculture","Irrigation (long-term)","Utah","Cobalt","Dissolved",0.05,NA,NA
"164","Agriculture","Irrigation (short-term)","Utah","Cobalt","Dissolved",5,NA,NA
"165","Livestock","Livestock Watering","Utah","Cobalt","Dissolved",1,NA,NA
"166","Recreation and Human Contact","Recreational","Utah","Cobalt","Total",7.931,NA,NA
"167","Agriculture","Agricultural Uses","Utah","Copper","Dissolved",0.2,NA,NA
"168","Agriculture","Irrigation (long-term)","Utah","Copper","Dissolved",0.2,NA,NA
"169","Agriculture","Irrigation (short-term)","Utah","Copper","Dissolved",5,NA,NA
"170","Aquatic Life","Aquatic Acute","Utah","Copper","Dissolved",NA,"0.96","(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000"
"171","Aquatic Life","Aquatic Acute","Colorado","Copper","Dissolved",NA,"1","(CF*exp( 0.9422 *log(hardness)+ -1.7408 ))/1000"
"172","Aquatic Life","Aquatic Chronic","Colorado","Copper","Dissolved",NA,"1","(CF*exp( 0.8545 *log(hardness)+ -1.7428 ))/1000"
"173","Aquatic Life","Aquatic Chronic","Utah","Copper","Dissolved",NA,"0.96","(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000"
"174","Aquatic Life","Warm Water Fish 1-hr","Utah","Copper","Dissolved",0.013,NA,NA
"175","Aquatic Life","Warm Water Fish 4-day","Utah","Copper","Dissolved",0.009,NA,NA
"176","Livestock","Livestock Watering","Utah","Copper","Dissolved",0.5,NA,NA
"177","Recreation and Human Contact","Recreational","Utah","Copper","Total",6.208,NA,NA
"178","Aquatic Life","Aquatic Acute","Colorado","Hardness","Dissolved",200,NA,NA
"179","Agriculture","Revised Ag Water Supply","Region 9","Copper","Dissolved",0.2,NA,NA
"180","Aquatic Life","Aquatic Acute","EPA","Copper","Dissolved",NA,"0.96","(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000"
"181","Aquatic Life","Aquatic Chronic","EPA","Copper","Dissolved",NA,"0.96","(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000"
"182","Livestock","Livestock Watering","Region 6","Copper","Dissolved",0.5,NA,NA
"183","Livestock","Livestock Watering","Region 9","Copper","Dissolved",0.5,NA,NA
"184","Recreation and Human Contact","Recreational","Region 6","Copper","Dissolved",6.7,NA,NA
"185","Fish Consumption","Fish Consumption","Navajo Nation","Cadmium","Total",0.008,NA,NA
"186","Livestock","Livestock Watering","Navajo Nation","Cadmium","Total",0.05,NA,NA
"187","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Cadmium","Total",0.47,NA,NA
"188","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Cadmium","Total",0.47,NA,NA
"189","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Chromium","Total",0.1,NA,NA
"190","Fish Consumption","Fish Consumption","Navajo Nation","Chromium","Total",0.15,NA,NA
"191","Livestock","Livestock Watering","New Mexico","Cobalt","Dissolved",1,NA,NA
"192","Agriculture","Irrigation","New Mexico","Copper","Dissolved",0.2,NA,NA
"193","Aquatic Life","Aquatic Acute","New Mexico","Copper","Dissolved",NA,"0.96","(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000"
"194","Aquatic Life","Aquatic Chronic","New Mexico","Copper","Dissolved",NA,"0.96","(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000"
"195","Domestic Water Supply","Domestic Water Supply","New Mexico","Copper","Dissolved",1.3,NA,NA
"196","Livestock","Livestock Watering","New Mexico","Copper","Dissolved",0.5,NA,NA
"197","Aquatic Life","Aquatic Acute","New Mexico","Hardness","Dissolved",300,NA,NA
"198","Aquatic Life","Aquatic Chronic","New Mexico","Hardness","Dissolved",300,NA,NA
"199","Agriculture","Irrigation","New Mexico","Lead","Dissolved",5,NA,NA
"200","Aquatic Life","Aquatic Acute","New Mexico","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000"
"201","Aquatic Life","Aquatic Chronic","New Mexico","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000"
"202","Domestic Water Supply","Domestic Water Supply","New Mexico","Lead","Dissolved",0.015,NA,NA
"203","Livestock","Livestock Watering","New Mexico","Lead","Dissolved",0.1,NA,NA
"204","Aquatic Life","Aquatic Acute","New Mexico","Manganese","Dissolved",NA,"1","(CF*exp( 0.3331 *log(hardness)+ 6.4676 ))/1000"
"205","Aquatic Life","Aquatic Chronic","Colorado","Hardness","Dissolved",200,NA,NA
"206","Aquatic Life","Warm Water Fish 1-hr","Utah","Hardness","Dissolved",200,NA,NA
"207","Aquatic Life","Warm Water Fish 4-day","Utah","Hardness","Dissolved",200,NA,NA
"208","Agriculture","Irrigation (long-term)","Utah","Iron","Dissolved",5,NA,NA
"209","Agriculture","Irrigation (short-term)","Utah","Iron","Dissolved",20,NA,NA
"210","Aquatic Life","Aquatic Chronic","Colorado","Iron","Total Recoverable",1,NA,NA
"211","Aquatic Life","Aquatic Acute","Ute Mountain Ute","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.14572","(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000"
"212","Aquatic Life","Aquatic Chronic","Ute Mountain Ute","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000"
"213","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Lead","Dissolved",0.05,NA,NA
"214","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Mercury","Total Recoverable",0.01,NA,NA
"215","Aquatic Life","Aquatic Acute 1-Hour","Ute Mountain Ute","Mercury","Total Recoverable",0.0014,NA,NA
"216","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Mercury","Total Recoverable",1.2e-05,NA,NA
"217","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Mercury","Total Recoverable",5e-05,NA,NA
"218","Fish Consumption","Fish Consumption","Ute Mountain Ute","Mercury","Total Recoverable",5.1e-05,NA,NA
"219","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Nickel","Total Recoverable",0.2,NA,NA
"220","Aquatic Life","Aquatic Acute","Ute Mountain Ute","Nickel","Dissolved",NA,"7.080399974","(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000"
"221","Aquatic Life","Aquatic Chronic","Ute Mountain Ute","Nickel","Dissolved",NA,"4.883799974","(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000"
"222","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Nickel","Dissolved",0.1,NA,NA
"223","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Selenium","Total Recoverable",0.02,NA,NA
"224","Livestock","Livestock Watering","Navajo Nation","Chromium","Total",1,NA,NA
"225","Aquatic Life","Aquatic Acute","Navajo Nation","Chromium(III)","Dissolved",NA,"0.316","(CF*exp( 0.819 *log(hardness)+ 3.7256 ))/1000"
"226","Aquatic Life","Aquatic Chronic","Navajo Nation","Chromium(III)","Dissolved",NA,"0.86","(CF*exp( 0.819 *log(hardness)+ 0.6848 ))/1000"
"227","Agriculture","Agricultural Supply","Navajo Nation","Cobalt","Dissolved",5,NA,NA
"228","Livestock","Livestock Watering","Navajo Nation","Cobalt","Dissolved",1,NA,NA
"229","Agriculture","Agricultural Supply","Navajo Nation","Copper","Dissolved",5,NA,NA
"230","Aquatic Life","Aquatic Acute","Navajo Nation","Copper","Dissolved",NA,"0.96","(CF*exp( 0.9422 *log(hardness)+ -1.7 ))/1000"
"231","Aquatic Life","Aquatic Chronic","Navajo Nation","Copper","Dissolved",NA,"0.96","(CF*exp( 0.8545 *log(hardness)+ -1.702 ))/1000"
"232","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Copper","Total",1.3,NA,NA
"233","Livestock","Livestock Watering","Navajo Nation","Copper","Total",0.5,NA,NA
"234","Aquatic Life","Warm Water Fish 1-hr","Utah","Iron","Dissolved",1,NA,NA
"235","Aquatic Life","Warm Water Fish 4-day","Utah","Iron","Dissolved",1,NA,NA
"236","Recreation and Human Contact","Recreational","Utah","Iron","Total",851.582,NA,NA
"237","Agriculture","Agricultural Uses","Utah","Lead","Dissolved",0.1,NA,NA
"238","Agriculture","Irrigation (long-term)","Utah","Lead","Dissolved",5,NA,NA
"239","Agriculture","Irrigation (short-term)","Utah","Lead","Dissolved",10,NA,NA
"240","Aquatic Life","Aquatic Acute","Utah","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000"
"241","Aquatic Life","Aquatic Acute","Colorado","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000"
"242","Aquatic Life","Aquatic Chronic","Colorado","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000"
"243","Domestic Water Supply","Domestic Supply 1-Day","Colorado","Lead","Total Recoverable",0.05,NA,NA
"244","Aquatic Life","Aquatic Chronic","Utah","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000"
"245","Aquatic Life","Warm Water Fish 1-hr","Utah","Lead","Dissolved",0.065,NA,NA
"246","Aquatic Life","Warm Water Fish 4-day","Utah","Lead","Dissolved",0.025,NA,NA
"247","Domestic Water Supply","Domestic Water Supply","Utah","Lead","Dissolved",0.015,NA,NA
"248","Livestock","Livestock Watering","Utah","Lead","Dissolved",0.1,NA,NA
"249","Recreation and Human Contact","Recreational","Utah","Lead","Total",0.91,NA,NA
"250","Livestock","Livestock Watering","Utah","Magnesium","Dissolved",250,NA,NA
"251","Agriculture","Irrigation (long-term)","Utah","Manganese","Dissolved",0.2,NA,NA
"252","Agriculture","Irrigation (short-term)","Utah","Manganese","Dissolved",10,NA,NA
"253","Aquatic Life","Aquatic Acute","Colorado","Manganese","Dissolved",NA,"1","(CF*exp( 0.3331 *log(hardness)+ 6.4676 ))/1000"
"254","Aquatic Life","Aquatic Chronic","Colorado","Manganese","Dissolved",NA,"1","(CF*exp( 0.3331 *log(hardness)+ 5.8743 ))/1000"
"255","Recreation and Human Contact","Recreational","Utah","Manganese","Total",31.04,NA,NA
"256","Aquatic Life","Aquatic Chronic","Colorado","Mercury","Total",1e-05,NA,NA
"257","Domestic Water Supply","Domestic Supply 1-Day","Colorado","Mercury","Total Recoverable",0.002,NA,NA
"258","Aquatic Life","Warm Water Fish 1-hr","Utah","Mercury","Dissolved",1.2e-05,NA,NA
"259","Aquatic Life","Warm Water Fish 4-day","Utah","Mercury","Dissolved",1.2e-05,NA,NA
"260","Domestic Water Supply","Domestic Water Supply","Utah","Mercury","Dissolved",0.002,NA,NA
"261","Livestock","Livestock Watering","Utah","Mercury","Dissolved",0.01,NA,NA
"262","Recreation and Human Contact","Recreational","Utah","Mercury","Total",1.242,NA,NA
"263","Agriculture","Irrigation (long-term)","Utah","Molybdenum","Dissolved",0.01,NA,NA
"264","Agriculture","Irrigation (short-term)","Utah","Molybdenum","Dissolved",0.05,NA,NA
"265","Recreation and Human Contact","Recreational","Utah","Molybdenum","Total",3.104,NA,NA
"266","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Copper","Total",9.33,NA,NA
"267","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Copper","Total",9.33,NA,NA
"268","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Hardness","Dissolved",300,NA,NA
"269","Aquatic Life","Chronic Ag and Wildlife","Navajo Nation","Hardness","Dissolved",300,NA,NA
"270","Agriculture","Agricultural Supply","Navajo Nation","Lead","Total",10,NA,NA
"271","Aquatic Life","Aquatic Acute","Navajo Nation","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.14572","(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000"
"272","Aquatic Life","Aquatic Chronic","Navajo Nation","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000"
"273","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Lead","Total",0.015,NA,NA
"274","Livestock","Livestock Watering","Navajo Nation","Lead","Total",0.1,NA,NA
"275","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Lead","Total",0.015,NA,NA
"276","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Lead","Total",0.015,NA,NA
"277","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Mercury","Dissolved",0.0024,NA,NA
"278","Aquatic Life","Aquatic Chronic","New Mexico","Manganese","Dissolved",NA,"1","(CF*exp( 0.3331 *log(hardness)+ 5.8743 ))/1000"
"279","Aquatic Life","Aquatic Acute","New Mexico","Mercury","Dissolved",0.0014,NA,NA
"280","Aquatic Life","Aquatic Chronic","New Mexico","Mercury","Dissolved",0.00077,NA,NA
"281","Domestic Water Supply","Domestic Water Supply","New Mexico","Mercury","Total",0.002,NA,NA
"282","Livestock","Livestock Watering","New Mexico","Mercury","Total",0.01,NA,NA
"283","Livestock","Wildlife Habitat","New Mexico","Mercury","Total",0.00077,NA,NA
"284","Agriculture","Irrigation","New Mexico","Molybdenum","Dissolved",1,NA,NA
"285","Aquatic Life","Aquatic Acute","New Mexico","Molybdenum","Total Recoverable",7.92,NA,NA
"286","Aquatic Life","Aquatic Chronic","New Mexico","Molybdenum","Total Recoverable",1.895,NA,NA
"287","Aquatic Life","Aquatic Acute","New Mexico","Nickel","Dissolved",NA,"0.998","(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000"
"288","Aquatic Life","Aquatic Chronic","New Mexico","Nickel","Dissolved",NA,"0.997","(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000"
"289","Domestic Water Supply","Domestic Water Supply","New Mexico","Nickel","Dissolved",0.7,NA,NA
"290","Fish Consumption","HH-OO","New Mexico","Nickel","Dissolved",4.6,NA,NA
"291","Agriculture","Irrigation (long-term)","Utah","Nickel","Dissolved",0.2,NA,NA
"292","Agriculture","Irrigation (short-term)","Utah","Nickel","Dissolved",2,NA,NA
"293","Aquatic Life","Aquatic Acute","Utah","Nickel","Dissolved",NA,"0.998","(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000"
"294","Aquatic Life","Aquatic Acute","Colorado","Nickel","Dissolved",NA,"1","(CF*exp( 0.846 *log(hardness)+ 2.253 ))/1000"
"295","Aquatic Life","Aquatic Chronic","Colorado","Nickel","Dissolved",NA,"1","(CF*exp( 0.846 *log(hardness)+ 0.0554 ))/1000"
"296","Fish Consumption","Fish Consumption","Colorado","Nickel","Dissolved",4.6,NA,NA
"297","Aquatic Life","Aquatic Chronic","Utah","Nickel","Dissolved",NA,"0.997","(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000"
"298","Aquatic Life","Warm Water Fish 1-hr","Utah","Nickel","Dissolved",0.468,NA,NA
"299","Aquatic Life","Warm Water Fish 4-day","Utah","Nickel","Dissolved",0.052,NA,NA
"300","Aquatic Life","Aquatic Acute 1-Hour","Ute Mountain Ute","Selenium","Total Recoverable",0.02,NA,NA
"301","Aquatic Life","Aqutic Chronic 4-Day","Ute Mountain Ute","Selenium","Total Recoverable",0.005,NA,NA
"302","Fish Consumption","Fish Consumption","Ute Mountain Ute","Selenium","Total Recoverable",4.2,NA,NA
"303","Aquatic Life","Aquatic Acute","Ute Mountain Ute","Silver","Dissolved",NA,"3.290505856","(CF*exp( 1.72 *log(hardness)+ -6.52 ))/1000"
"304","Aquatic Life","Aquatic Chronic","Ute Mountain Ute","Silver","Dissolved",NA,"0.7505058564","(CF*exp( 1.72 *log(hardness)+ -9.06 ))/1000"
"305","Domestic Water Supply","Domestic and Tribal 30-Day",NA,"Aluminum","Total",1.8e-05,NA,NA
"306","Domestic Water Supply","Domestic and Tribal 30-Day",NA,"Mercury","Total",5e-05,NA,NA
"307","Domestic Water Supply","Domestic and Tribal 30-Day",NA,"Selenium","Total",0.05,NA,NA
"308","Domestic Water Supply","Domestic Water and Tribal 1 Day","Ute Mountain Ute","Silver","Dissolved",0.1,NA,NA
"309","Agriculture","Agriculture 30-Day","Ute Mountain Ute","Zinc","Total Recoverable",2,NA,NA
"310","Aquatic Life","Aquatic Acute","Ute Mountain Ute","Zinc","Dissolved",NA,"5.716814891","(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000"
"311","Recreation and Human Contact","Recreational","Utah","Nickel","Total",17.48,NA,NA
"312","Agriculture","Agricultural Uses","Utah","Selenium","Dissolved",0.05,NA,NA
"313","Agriculture","Irrigation (long-term)","Utah","Selenium","Dissolved",0.02,NA,NA
"314","Agriculture","Irrigation (short-term)","Utah","Selenium","Dissolved",0.02,NA,NA
"315","Aquatic Life","Aquatic Acute","Colorado","Selenium","Dissolved",0.0184,NA,NA
"316","Aquatic Life","Warm Water Fish 1-hr","Utah","Selenium","Dissolved",0.0184,NA,NA
"317","Aquatic Life","Chronic Ag and Wildlife","Navajo Nation","Mercury","Dissolved",1.2e-05,NA,NA
"318","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Mercury","Total",0.002,NA,NA
"319","Fish Consumption","Fish Consumption","Navajo Nation","Mercury","Total",0.00015,NA,NA
"320","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Mercury","Total",0.28,NA,NA
"321","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Mercury","Total",0.28,NA,NA
"322","Agriculture","Agricultural Supply","Navajo Nation","Molybdenum","Total",0.05,NA,NA
"323","Aquatic Life","Aquatic Acute","Navajo Nation","Nickel","Dissolved",NA,"0.998","(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000"
"324","Aquatic Life","Aquatic Chronic","Navajo Nation","Nickel","Dissolved",NA,"0.997","(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000"
"325","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Nickel","Total",0.61,NA,NA
"326","Aquatic Life","Aquatic Chronic","Ute Mountain Ute","Zinc","Dissolved",NA,"5.716814891","(CF*exp( 0.8473 *log(hardness)+ 0.884 ))/1000"
"327","Domestic Water Supply","Drinking Water 30-Day","Ute Mountain Ute","Zinc","Dissolved",5,NA,NA
"328","Agriculture","Irrigation","New Mexico","Selenium","Dissolved",0.13,NA,NA
"329","Aquatic Life","Aquatic Acute","New Mexico","Selenium","Total Recoverable",0.02,NA,NA
"330","Aquatic Life","Aquatic Chronic","New Mexico","Selenium","Total Recoverable",0.005,NA,NA
"331","Domestic Water Supply","Domestic Water Supply","New Mexico","Selenium","Dissolved",0.05,NA,NA
"332","Livestock","Livestock Watering","New Mexico","Selenium","Dissolved",0.05,NA,NA
"333","Livestock","Wildlife Habitat","New Mexico","Selenium","Total Recoverable",0.005,NA,NA
"334","Fish Consumption","Fish Consumption","Navajo Nation","Nickel","Total",4.6,NA,NA
"335","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Nickel","Total",18.67,NA,NA
"336","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Nickel","Total",18.67,NA,NA
"337","Agriculture","Agricultural Supply","Navajo Nation","Selenium","Total",0.02,NA,NA
"338","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Selenium","Total",0.033,NA,NA
"339","Aquatic Life","Chronic Ag and Wildlife","Navajo Nation","Selenium","Total",0.002,NA,NA
"340","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Selenium","Total",0.05,NA,NA
"341","Fish Consumption","Fish Consumption","Navajo Nation","Selenium","Total",0.67,NA,NA
"342","Livestock","Livestock Watering","Navajo Nation","Selenium","Total",0.05,NA,NA
"343","Aquatic Life","Aquatic Acute","New Mexico","Silver","Dissolved",NA,"0.85","(CF*exp( 1.72 *log(hardness)+ -6.59 ))/1000"
"344","Fish Consumption","HH-OO","New Mexico","Sodium","Dissolved",4.2,NA,NA
"345","Domestic Water Supply","Domestic Water Supply","New Mexico","Thallium","Dissolved",0.002,NA,NA
"346","Fish Consumption","HH-OO","New Mexico","Thallium","Dissolved",0.47,NA,NA
"347","Agriculture","Irrigation","New Mexico","Vanadium","Dissolved",0.1,NA,NA
"348","Livestock","Livestock Watering","New Mexico","Vanadium","Dissolved",0.1,NA,NA
"349","Agriculture","Irrigation","New Mexico","Zinc","Dissolved",2,NA,NA
"350","Aquatic Life","Aquatic Acute","New Mexico","Zinc","Dissolved",NA,"0.978","(CF*exp( 0.9094 *log(hardness)+ 0.9095 ))/1000"
"351","Aquatic Life","Aquatic Chronic","New Mexico","Zinc","Dissolved",NA,"0.986","(CF*exp( 0.9094 *log(hardness)+ 0.6235 ))/1000"
"352","Domestic Water Supply","Domestic Water Supply","New Mexico","Zinc","Dissolved",10.5,NA,NA
"353","Recreation and Human Contact","Recreational","Region 6","Iron","Dissolved",120,NA,NA
"354","Agriculture","Irrigation","Region 6","Lead","Dissolved",5,NA,NA
"355","Agriculture","Revised Ag Water Supply","Region 9","Lead","Dissolved",10,NA,NA
"356","Aquatic Life","Aquatic Acute","EPA","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -1.46 ))/1000"
"357","Aquatic Life","Aquatic Chronic","EPA","Lead","Dissolved",NA,"1.46203 -log(hardness)* 0.145712","(CF*exp( 1.273 *log(hardness)+ -4.705 ))/1000"
"358","Livestock","Livestock Watering","Region 6","Lead","Dissolved",0.1,NA,NA
"359","Livestock","Livestock Watering","Region 9","Lead","Dissolved",0.1,NA,NA
"360","Recreation and Human Contact","Recreational","Region 6","Lead","Dissolved",0.2,NA,NA
"361","Agriculture","Irrigation","Region 6","Manganese","Dissolved",0.2,NA,NA
"362","Recreation and Human Contact","Recreational","Region 6","Manganese","Dissolved",7.8,NA,NA
"363","Livestock","Livestock Watering","Region 6","Mercury","Dissolved",0.01,NA,NA
"364","Recreation and Human Contact","Recreational","Region 6","Mercury","Dissolved",0.05,NA,NA
"365","Agriculture","Revised Ag Water Supply","Region 9","Molybdenum","Dissolved",1,NA,NA
"366","Recreation and Human Contact","Recreational","Region 6","Molybdenum","Dissolved",0.83,NA,NA
"367","Agriculture","Irrigation","Region 6","Nickel","Dissolved",0.2,NA,NA
"368","Aquatic Life","Aquatic Acute","EPA","Nickel","Dissolved",NA,"0.998","(CF*exp( 0.846 *log(hardness)+ 2.255 ))/1000"
"369","Aquatic Life","Aquatic Chronic","EPA","Nickel","Dissolved",NA,"0.997","(CF*exp( 0.846 *log(hardness)+ 0.0584 ))/1000"
"370","Livestock","Livestock Watering","Region 6","Nickel","Dissolved",1,NA,NA
"371","Recreation and Human Contact","Recreational","Region 6","Nickel","Dissolved",3.3,NA,NA
"372","Aquatic Life","Warm Water Fish 4-day","Utah","Selenium","Dissolved",0.0046,NA,NA
"373","Aquatic Life","Aquatic Chronic","Colorado","Selenium","Dissolved",0.0046,NA,NA
"374","Fish Consumption","Fish Consumption","Colorado","Selenium","Dissolved",4.2,NA,NA
"375","Domestic Water Supply","Domestic Water Supply","Utah","Selenium","Dissolved",0.05,NA,NA
"376","Livestock","Livestock Watering","Utah","Selenium","Dissolved",0.05,NA,NA
"377","Recreation and Human Contact","Recreational","Utah","Selenium","Total",3.104,NA,NA
"378","Aquatic Life","Aquatic Acute","Utah","Silver","Dissolved",NA,"0.85","(CF*exp( 1.72 *log(hardness)+ -6.59 ))/1000"
"379","Aquatic Life","Warm Water Fish 1-hr","Utah","Silver","Dissolved",0.01059716954,NA,NA
"380","Aquatic Life","Aquatic Acute","Colorado","Silver","Dissolved",NA,"0.5","(CF*exp( 1.72 *log(hardness)+ -6.52 ))/1000"
"381","Aquatic Life","Aquatic Chronic","Colorado","Silver","Dissolved",NA,"1","(CF*exp( 1.72 *log(hardness)+ -9.06 ))/1000"
"382","Domestic Water Supply","Domestic Supply 1-Day","Colorado","Silver","Total Recoverable",0.1,NA,NA
"383","Domestic Water Supply","Domestic Water Supply","Utah","Silver","Dissolved",0.05,NA,NA
"384","Recreation and Human Contact","Recreational","Utah","Silver","Total",3.64,NA,NA
"385","Livestock","Livestock Watering","Utah","Sodium","Dissolved",1000,NA,NA
"386","Fish Consumption","HH-OO","New Mexico","Zinc","Dissolved",26,NA,NA
"387","Livestock","Livestock Watering","New Mexico","Zinc","Dissolved",25,NA,NA
"388","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Selenium","Total",4.67,NA,NA
"389","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Selenium","Total",4.67,NA,NA
"390","Aquatic Life","Aquatic Acute","Navajo Nation","Silver","Dissolved",NA,"0.85","(CF*exp( 1.72 *log(hardness)+ -6.59 ))/1000"
"391","Domestic Water Supply","Domestic Water Supply","Navajo Nation","Silver","Total",0.035,NA,NA
"392","Fish Consumption","Fish Consumption","Navajo Nation","Silver","Total",8,NA,NA
"393","Recreation and Human Contact","Primary Human Contact","Navajo Nation","Silver","Total",4.67,NA,NA
"394","Recreation and Human Contact","Secondary Human Contact","Navajo Nation","Silver","Total",4.67,NA,NA
"395","Aquatic Life","Acute Ag and Wildlife","Navajo Nation","Thallium","Dissolved",0.7,NA,NA
