"","Screening.Criteria","Use","Jurisdiction","CharacteristicName","ResultSampleFractionText","Criteria_mg_L","CF","Criterion_Formula_mgL"
"457","Aquatic Life","Aquatic Acute","Southern Ute","Cadmium","Dissolved",NA,"1.136672 -log(hardness) * (0.041838)","(exp(0.9789*log(hardness)+-3.866)*CF)/1000"
"458","Aquatic Life","Aquatic Chronic","Southern Ute","Cadmium","Dissolved",NA,"1.101672 -log(hardness) * (0.041838)","(exp(0.7977*log(hardness)+-3.909)*CF)/1000"
"459","Aquatic Life","Aquatic Acute","Southern Ute","Chromium (III)","Dissolved",NA,"0.316","(exp(0.819*log(hardness)+3.7256)*CF)/1000"
"460","Aquatic Life","Aquatic Chronic","Southern Ute","Chromium (III)","Dissolved",NA,"0.86","(exp(0.819*log(hardness)+0.6848)*CF)/1000"
"461","Aquatic Life","Aquatic Acute","Southern Ute","Chromium (VI)","Dissolved",0.016,NA,NA
"462","Aquatic Life","Aquatic Chronic","Southern Ute","Chromium (VI)","Dissolved",0.011,NA,NA
"463","Human Helath","HH Water + Organism","Southern Ute","Copper","Dissolved",1.3,NA,NA
"464","Aquatic Life","Aquatic Chronic","Southern Ute","Iron","Dissolved",1,NA,NA
"465","Aquatic Life","Aquatic Acute","Southern Ute","Lead","Dissolved",NA,"1.46203 -log(hardness) * (0.145712)","(exp(1.273*log(hardness)+-1.46)*CF)/1000"
"466","Aquatic Life","Aquatic Chronic","Southern Ute","Lead","Dissolved",NA,"1.46203 -log(hardness) * (0.145712)","(exp(1.273*log(hardness)+-4.705)*CF)/1000"
"467","Human Helath","HH Water + Organism","Southern Ute","Manganese","Dissolved",0.05,NA,NA
"468","Human Helath","HH Organism","Southern Ute","Manganese","Dissolved",0.1,NA,NA
"469","Aquatic Life","Aquatic Acute","Southern Ute","Mercury","Dissolved",0.0014,NA,NA
"470","Aquatic Life","Aquatic Chronic","Southern Ute","Mercury","Dissolved",0.00077,NA,NA
"471","Aquatic Life","Aquatic Acute","Southern Ute","Nickel","Dissolved",NA,"0.998","(exp(0.846*log(hardness)+2.255)*CF)/1000"
"472","Aquatic Life","Aquatic Chronic","Southern Ute","Nickel","Dissolved",NA,"0.997","(exp(0.846*log(hardness)+0.0584)*CF)/1000"
"473","Human Helath","HH Water + Organism","Southern Ute","Nickel","Dissolved",0.61,NA,NA
"474","Human Helath","HH Organism","Southern Ute","Nickel","Dissolved",4.6,NA,NA
"475","Human Helath","HH Water + Organism","Southern Ute","Selenium","Dissolved",0.17,NA,NA
"476","Human Helath","HH Organism","Southern Ute","Selenium","Dissolved",4.2,NA,NA
"477","Aquatic Life","Aquatic Acute","Southern Ute","Silver","Dissolved",NA,"0.85","(exp(1.72*log(hardness)+-6.59)*CF)/1000"
"478","Human Helath","HH Water + Organism","Southern Ute","Thallium","Dissolved",0.00024,NA,NA
"479","Human Helath","HH Organism","Southern Ute","Thallium","Dissolved",0.00047,NA,NA
"480","Aquatic Life","Aquatic Acute","Southern Ute","Zinc","Dissolved",NA,"0.978","(exp(0.8473*log(hardness)+0.884)*CF)/1000"
"481","Aquatic Life","Aquatic Chronic","Southern Ute","Zinc","Dissolved",NA,"0.986","(exp(0.8473*log(hardness)+0.884)*CF)/1000"
"482","Human Helath","HH Water + Organism","Southern Ute","Zinc","Dissolved",7.4,NA,NA
"483","Human Helath","HH Organism","Southern Ute","Zinc","Dissolved",26,NA,NA
