BeneficialUse,Type,Parameter,Criteria mg/L
Livestock,Dissolved,pH,
Livestock,Dissolved,Potassium,
Livestock,Dissolved,Silver,
Livestock,Dissolved,Thallium,
Livestock,Dissolved,Uranium,
Domestic Use,Total,Aluminum,
Domestic Use,Total,Antimony,
Domestic Use,Total,,
Domestic Use,Total,,
Domestic Use,Total,Beryllium,
Domestic Use,Total,Calcium,
Domestic Use,Total,Chromium III,
Domestic Use,Total,Chromium VI,
Domestic Use,Total,Cobalt,
Domestic Use,Total,Hardness,
Domestic Use,Total,Iron,
Domestic Use,Total,Magnesium,
Domestic Use,Total,Molybdenum,
Domestic Use,Total,Nitrate,
Domestic Use,Total,pH,
Domestic Use,Total,Potassium,
Domestic Use,Total,Silver,
Domestic Use,Total,Sodium,
Domestic Use,Total,Thallium,
Domestic Use,Total,Total Dissolved Solids,
Domestic Use,Total,Vanadium,
Domestic Use,Total,Zinc,
Domestic Use,Dissolved,Aluminum,
Domestic Use,Dissolved,,
Domestic Use,Dissolved,,
Domestic Use,Dissolved,Boron,
Domestic Use,Dissolved,Calcium,
Domestic Use,Dissolved,Chlorine,
Domestic Use,Dissolved,Chromium III,
Domestic Use,Dissolved,Chromium VI,
Domestic Use,Dissolved,Cobalt,
Domestic Use,Dissolved,Hardness,
Domestic Use,Dissolved,Iron,
Domestic Use,Dissolved,Magnesium,
Domestic Use,Dissolved,Manganese,
Domestic Use,Dissolved,Molybdenum,
Domestic Use,Dissolved,Nitrate,
Domestic Use,Dissolved,pH,
Domestic Use,Dissolved,Potassium,
Domestic Use,Dissolved,Sodium,
Domestic Use,Dissolved,Total Dissolved Solids,
Domestic Use,Dissolved,Vanadium,
Fish Consumption,Total,Aluminum,
Fish Consumption,Total,Antimony,
Fish Consumption,Total,Barium,
Fish Consumption,Total,Boron,
Fish Consumption,Total,Cadmium,
Fish Consumption,Total,Calcium,
Fish Consumption,Total,Chlorine,
Fish Consumption,Total,Chromium,
Fish Consumption,Total,Chromium III,
Fish Consumption,Total,Chromium VI,
Fish Consumption,Total,Cobalt,
Fish Consumption,Total,Copper,
Fish Consumption,Total,Hardness,
Fish Consumption,Total,Iron,
Fish Consumption,Total,Lead,
Fish Consumption,Total,Magnesium,
Fish Consumption,Total,Manganese,
Fish Consumption,Total,Molybdenum,
Fish Consumption,Total,Nickel,
Fish Consumption,Total,Nitrate,
Fish Consumption,Total,pH,
Fish Consumption,Total,Potassium,
Fish Consumption,Total,Sodium,
Fish Consumption,Total,Total Dissolved Solids,
Fish Consumption,Total,Uranium,
Fish Consumption,Total,Vanadium,
Fish Consumption,Total,Zinc,
Fish Consumption,Dissolved,Aluminum,
Fish Consumption,Dissolved,Barium,
Fish Consumption,Dissolved,Beryllium,
Fish Consumption,Dissolved,Boron,
Fish Consumption,Dissolved,Cadmium,
Fish Consumption,Dissolved,Calcium,
Fish Consumption,Dissolved,Chlorine,
Fish Consumption,Dissolved,Chromium,
Fish Consumption,Dissolved,Chromium III,
Fish Consumption,Dissolved,Chromium VI,
Fish Consumption,Dissolved,Cobalt,
Fish Consumption,Dissolved,Copper,
Fish Consumption,Dissolved,Hardness,
Fish Consumption,Dissolved,Iron,
Fish Consumption,Dissolved,Lead,
Fish Consumption,Dissolved,Magnesium,
Fish Consumption,Dissolved,Manganese,
Fish Consumption,Dissolved,Mercury,
Fish Consumption,Dissolved,Molybdenum,
Fish Consumption,Dissolved,Nitrate,
Fish Consumption,Dissolved,pH,
Fish Consumption,Dissolved,Potassium,
Fish Consumption,Dissolved,Silver,
Fish Consumption,Dissolved,Sodium,
Fish Consumption,Dissolved,Total Dissolved Solids,
Fish Consumption,Dissolved,Uranium,
Fish Consumption,Dissolved,Vanadium,
Aquatic Life Acute,Total,Antimony,
Aquatic Life Acute,Total,Barium,
Aquatic Life Acute,Total,Beryllium,
Aquatic Life Acute,Total,Boron,
Aquatic Life Acute,Total,Cadmium,
Aquatic Life Acute,Total,Calcium,
Aquatic Life Acute,Total,Chlorine,
Aquatic Life Acute,Total,Chromium,
Aquatic Life Acute,Total,Chromium III,
Aquatic Life Acute,Total,Chromium VI,
Aquatic Life Acute,Total,Cobalt,
Aquatic Life Acute,Total,Copper,
Aquatic Life Acute,Total,Hardness,
Aquatic Life Acute,Total,Iron,
Aquatic Life Acute,Total,Lead,
Aquatic Life Acute,Total,Magnesium,
Aquatic Life Acute,Total,Manganese,
Aquatic Life Acute,Total,Mercury,
Aquatic Life Acute,Total,Nickel,
Aquatic Life Acute,Total,Nitrate,
Aquatic Life Acute,Total,Potassium,
Aquatic Life Acute,Total,Selenium,
Aquatic Life Acute,Total,Silver,
Aquatic Life Acute,Total,Sodium,
Aquatic Life Acute,Total,Thallium,
Aquatic Life Acute,Total,Total Dissolve,
Aquatic Life Acute,Total,Uranium,
Aquatic Life Acute,Total,Vanadium,
Aquatic Life Acute,Total,Zinc,
Aquatic Life Acute,Dissolved,Barium,
Aquatic Life Acute,Dissolved,Beryllium,
Aquatic Life Acute,Dissolved,Boron,
Aquatic Life Acute,Dissolved,Cadmium,
Aquatic Life Acute,Dissolved,Calcium,
Aquatic Life Acute,Dissolved,Chlorine,
Aquatic Life Acute,Dissolved,Chromium,
Aquatic Life Acute,Dissolved,Chromium III,
Aquatic Life Acute,Dissolved,Chromium VI,
Aquatic Life Acute,Dissolved,Cobalt,
Aquatic Life Acute,Dissolved,Copper,
Aquatic Life Acute,Dissolved,Hardness,
Aquatic Life Acute,Dissolved,Lead,
Aquatic Life Acute,Dissolved,Magnesium,
Aquatic Life Acute,Dissolved,Manganese,
Aquatic Life Acute,Dissolved,Molybdenum,
Aquatic Life Acute,Dissolved,Nickel,
Aquatic Life Acute,Dissolved,Nitrate,
Aquatic Life Acute,Dissolved,Potassium,
Aquatic Life Acute,Dissolved,Silver,
Aquatic Life Acute,Dissolved,Sodium,
Aquatic Life Acute,Dissolved,Total Dissolve,
Aquatic Life Acute,Dissolved,Uranium,
Aquatic Life Acute,Dissolved,Vanadium,
Aquatic Life Acute,Dissolved,Zinc,
